trade_id,date,period,strategy,contract,strike,direction,entry,entry_value,exit_price,exit_value,pnl_rs,exit_reason,lots_at_entry,capital_at_entry,equity_after,entry_time,exit_time,year,instrument,stop,target,pnl_pts,win,bias_score,lots_used,capital_used,gap_pts,gap_pct,gap_vs_atr,orb_size,stop_pts,target_pts,atr14,be_triggered,regime,macro_ok,vwap_dev_pct,atm_strike,opt_type,expiry,dte,premium_entry,premium_exit,margin_per_lot,per_trade_risk_pct
34,2023-10-06,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-10-11-44600-CE,44600.0,LONG,44583.4,23467.5,44547.7,20343.75,-3163.75,SQUARE OFF,7,282789.25,279625.5,2023-10-06 10:30:00,2023-10-06 12:00:00,2023,NSE-BANKNIFTY,44423.36,44763.45,-17.85,0,0.335,1,4023.0,100.5,,,,,,400.11,,neutral,True,,44600.0,CE,2023-10-11,5.0,134.1,116.25,4023.0,0.1
35,2023-10-27,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-11-01-43000-CE,43000.0,LONG,42969.75,23295.0,43014.65,26662.5,3327.5,SQUARE OFF,6,279625.5,282953.0,2023-10-27 11:00:00,2023-10-27 12:00:00,2023,NSE-BANKNIFTY,42800.63,43160.01,22.45,1,0.4632,1,4659.0,138.95,,,,,,422.79,,neutral,True,,43000.0,CE,2023-11-01,5.0,155.3,177.75,4659.0,0.1
36,2023-11-07,PRE-IS,VWAP_REV,NSE-BANKNIFTY-30Nov23-FUT,FUT,LONG,43664.45,3274833.75,43892.45,3291933.75,17060.0,SQUARE OFF,3,282953.0,300013.0,2023-11-07 13:30:00,2023-11-07 14:45:00,2023,NSE-BANKNIFTY,43429.77,44016.47,228.0,1,0.0818,30,75000.0,0.25,,,,234.68,352.02,469.36,,neutral,True,0.041,,,,,,,,
37,2023-11-17,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-11-22-43800-PE,43800.0,SHORT,43800.0,20720.0,44214.4,41440.0,20680.0,TARGET HIT,4,300013.0,320693.0,2023-11-17 10:00:00,2023-11-17 10:15:00,2023,NSE-BANKNIFTY,43954.46,43626.24,207.2,1,1.0,1,6216.0,-378.2,,,,,,386.14,,neutral,True,,43800.0,PE,2023-11-22,5.0,207.2,414.4,6216.0,0.1
38,2023-11-20,PRE-IS,VWAP_REV,NSE-BANKNIFTY-30Nov23-FUT,FUT,SHORT,43670.1,1965154.5,43795.85,1970813.25,-5698.75,SQUARE OFF,3,320693.0,314994.25,2023-11-20 11:00:00,2023-11-20 14:45:00,2023,NSE-BANKNIFTY,43864.83,43378.0,-125.75,0,0.327,30,75000.0,36.35,,,,194.73,292.1,389.46,,neutral,True,0.163,,,,,,,,
39,2023-11-24,PRE-IS,VWAP_REV,NSE-BANKNIFTY-30Nov23-FUT,FUT,SHORT,43644.4,1963998.0,43806.96,1971313.2,-7355.2,STOP LOSS,3,314994.25,307639.05,2023-11-24 13:00:00,2023-11-24 14:15:00,2023,NSE-BANKNIFTY,43806.96,43400.56,-162.56,0,0.3552,30,75000.0,15.85,,,,162.56,243.84,325.12,,neutral,True,0.178,,,,,,,,
40,2023-11-28,PRE-IS,ORB,NSE-BANKNIFTY-30Nov23-FUT,FUT,LONG,43880.0,1974600.0,44029.04,1981306.8,6666.8,TARGET HIT,3,307639.05,314305.85,2023-11-28 10:30:00,2023-11-28 12:45:00,2023,NSE-BANKNIFTY,43747.52,44029.04,149.04,1,0.1062,30,75000.0,72.95,0.167,0.22,78.35,132.48,149.04,331.19,0.0,neutral,True,,,,,,,,,
41,2023-11-29,PRE-IS,ORB,NSE-BANKNIFTY-30Nov23-FUT,FUT,LONG,44165.05,1987427.25,44313.7,1994116.5,6649.25,TARGET HIT,3,314305.85,320955.1,2023-11-29 10:00:00,2023-11-29 11:30:00,2023,NSE-BANKNIFTY,44032.91,44313.7,148.65,1,0.2371,30,75000.0,94.05,0.214,0.285,119.45,132.14,148.65,330.34,0.0,neutral,True,,,,,,,,,
42,2023-12-05,PRE-IS,OPT_ORB,NSE-BANKNIFTY-2023-12-06-47200-CE,47200.0,LONG,47230.55,14415.0,47614.95,28830.0,14375.0,TARGET HIT,5,320955.1,335330.1,2023-12-05 10:00:00,2023-12-05 10:15:00,2023,NSE-BANKNIFTY,47060.8,47421.51,192.2,1,0.5108,1,5766.0,153.25,,,,,,424.36,,neutral,True,,47200.0,CE,2023-12-06,1.0,192.2,384.4,5766.0,0.1
43,2023-12-08,PRE-IS,VWAP_REV,NSE-BANKNIFTY-28Dec23-FUT,FUT,SHORT,47172.6,2830356.0,47347.7,2840862.0,-10546.0,SQUARE OFF,4,335330.1,324784.1,2023-12-08 12:15:00,2023-12-08 14:45:00,2023,NSE-BANKNIFTY,47420.36,46800.96,-175.1,0,0.0298,30,75000.0,36.95,,,,247.76,371.64,495.52,,neutral,True,0.015,,,,,,,,
44,2023-12-22,PRE-IS,VWAP_REV,NSE-BANKNIFTY-28Dec23-FUT,FUT,SHORT,48006.25,2160281.25,47537.58,2139191.1,21050.15,TARGET HIT,3,324784.1,345834.25,2023-12-22 12:15:00,2023-12-22 13:45:00,2023,NSE-BANKNIFTY,48318.7,47537.58,468.67,1,0.1891,30,75000.0,2.9,,,,312.45,468.67,624.9,,neutral,True,0.095,,,,,,,,
45,2023-12-27,PRE-IS,VWAP_REV,NSE-BANKNIFTY-28Dec23-FUT,FUT,SHORT,48089.15,2885349.0,48221.95,2893317.0,-8008.0,SQUARE OFF,4,345834.25,337826.25,2023-12-27 12:15:00,2023-12-27 14:45:00,2023,NSE-BANKNIFTY,48382.42,47649.24,-132.8,0,0.0087,30,75000.0,17.5,,,,293.27,439.91,586.55,,neutral,True,0.004,,,,,,,,
