trade_id,date,strategy,contract,strike,direction,entry,entry_value,exit_price,exit_value,pnl_rs,exit_reason,lots_at_entry,capital_at_entry,equity_after,entry_time,exit_time,year,instrument,stop,target,pnl_pts,win,bias_score,lots_used,capital_used,gap_pts,gap_pct,gap_vs_atr,orb_size,stop_pts,target_pts,atr14,be_triggered,regime,macro_ok,vwap_dev_pct,atm_strike,opt_type,expiry,premium_entry,premium_exit,margin_per_lot,per_trade_risk_pct
21,2025-06-24,OPT_ORB,NSE-BANKNIFTY-2025-06-26-56800-CE,56800.0,LONG,56795.4,10710.0,56947.3,14127.75,3377.75,SQUARE OFF,3,118980.59999999999,122358.34999999999,2025-06-24 11:15:00,2025-06-24 12:00:00,2025,NSE-BANKNIFTY,56605.85,57008.64,75.95,1,1.0,1,3570.0,300.4,,,,,,473.87,,neutral,True,,56800.0,CE,2025-06-26,238.0,313.95,3570.0,0.1
22,2025-07-23,OPT_ORB,NSE-BANKNIFTY-2025-07-31-56900-CE,56900.0,LONG,56925.8,10488.0,56994.1,11512.5,984.5,SQUARE OFF,2,122358.34999999999,123342.84999999999,2025-07-23 11:00:00,2025-07-23 12:00:00,2025,NSE-BANKNIFTY,56768.19,57103.11,34.15,1,0.4207,1,5244.0,126.2,,,,,,394.03,,neutral,True,,56900.0,CE,2025-07-31,349.6,383.75,5244.0,0.1
23,2025-08-05,ORB,NSE-BANKNIFTY-28Aug25-FUT,FUT,SHORT,55679.4,835191.0,55458.94,831884.1,3266.9,TARGET HIT,1,123342.84999999999,126609.74999999999,2025-08-05 10:00:00,2025-08-05 13:30:00,2025,NSE-BANKNIFTY,55875.37,55458.94,220.46,1,0.0354,15,75000.0,70.4,0.126,0.144,215.4,195.97,220.46,489.91,0.0,neutral,True,,,,,,,,
24,2025-08-26,ORB,NSE-BANKNIFTY-28Aug25-FUT,FUT,SHORT,54505.2,817578.0,54470.0,817050.0,488.0,SQUARE OFF,1,126609.74999999999,127097.74999999999,2025-08-26 15:00:00,2025-08-26 15:30:00,2025,NSE-BANKNIFTY,54671.77,54317.81,35.2,1,0.3762,15,75000.0,85.6,0.155,0.206,597.4,166.57,187.39,416.41,0.0,neutral,True,,,,,,,,
25,2025-09-10,OPT_ORB,NSE-BANKNIFTY-2025-09-30-54900-CE,54900.0,LONG,54885.2,6690.0,54993.2,7500.0,770.0,SQUARE OFF,1,127097.74999999999,127867.74999999999,2025-09-10 10:15:00,2025-09-10 12:00:00,2025,NSE-BANKNIFTY,54714.3,55077.46,54.0,1,0.6747,1,6690.0,202.4,,,,,,427.24,,neutral,True,,54900.0,CE,2025-09-30,446.0,500.0,6690.0,0.1
26,2025-09-24,ORB,NSE-BANKNIFTY-30Sep25-FUT,FUT,SHORT,55332.2,829983.0,55174.62,827619.3,2323.7,TARGET HIT,1,127867.74999999999,130191.44999999998,2025-09-24 10:30:00,2025-09-24 11:00:00,2025,NSE-BANKNIFTY,55472.27,55174.62,157.58,1,0.4379,15,75000.0,98.0,0.176,0.28,289.2,140.07,157.58,350.19,0.0,neutral,True,,,,,,,,
27,2025-09-26,ORB,NSE-BANKNIFTY-30Sep25-FUT,FUT,SHORT,54686.0,820290.0,54530.83,817962.45,2287.55,TARGET HIT,1,130191.44999999998,132478.99999999997,2025-09-26 12:00:00,2025-09-26 13:45:00,2025,NSE-BANKNIFTY,54823.93,54530.83,155.17,1,0.1353,15,75000.0,86.4,0.157,0.251,327.6,137.93,155.17,344.81,0.0,neutral,True,,,,,,,,
28,2025-10-08,ORB,NSE-BANKNIFTY-28Oct25-FUT,FUT,SHORT,56319.0,844785.0,56122.61,841839.15,2905.85,TARGET HIT,1,132478.99999999997,135384.84999999998,2025-10-08 10:00:00,2025-10-08 11:00:00,2025,NSE-BANKNIFTY,56493.57,56122.61,196.39,1,0.33,15,75000.0,58.0,0.103,0.133,152.4,174.57,196.39,436.41,0.0,neutral,True,,,,,,,,
29,2025-10-15,OPT_ORB,NSE-BANKNIFTY-2025-10-28-57000-CE,57000.0,LONG,56967.0,12285.0,57069.9,13828.5,1503.5,SQUARE OFF,2,135384.84999999998,136888.34999999998,2025-10-15 10:15:00,2025-10-15 12:00:00,2025,NSE-BANKNIFTY,56780.24,57177.1,51.45,1,0.4353,1,6142.5,130.6,,,,,,466.9,,neutral,True,,57000.0,CE,2025-10-28,409.5,460.95,6142.5,0.1
30,2025-10-17,VWAP_REV,NSE-BANKNIFTY-28Oct25-FUT,FUT,SHORT,57640.8,864612.0,57765.0,866475.0,-1903.0,SQUARE OFF,1,136888.34999999998,134985.34999999998,2025-10-17 12:45:00,2025-10-17 14:45:00,2025,NSE-BANKNIFTY,57872.36,57293.46,-124.2,0,0.1524,15,75000.0,27.2,,,,231.56,347.34,463.11,,neutral,True,0.076,,,,,,,
31,2025-10-27,VWAP_REV,NSE-BANKNIFTY-28Oct25-FUT,FUT,SHORT,58052.4,870786.0,58125.0,871875.0,-1129.0,SQUARE OFF,1,134985.34999999998,133856.34999999998,2025-10-27 13:15:00,2025-10-27 14:45:00,2025,NSE-BANKNIFTY,58281.14,57709.3,-72.6,0,0.1792,15,75000.0,43.2,,,,228.74,343.1,457.47,,neutral,True,0.09,,,,,,,
32,2025-11-21,OPT_ORB,NSE-BANKNIFTY-2025-11-25-59000-PE,59000.0,SHORT,59041.2,10111.5,59138.1,12291.75,2140.25,SQUARE OFF,3,133856.34999999998,135996.59999999998,2025-11-21 10:00:00,2025-11-21 12:00:00,2025,NSE-BANKNIFTY,59201.27,58861.12,48.45,1,0.91,1,3370.5,-273.0,,,,,,400.17,,neutral,True,,59000.0,PE,2025-11-25,224.7,273.15,3370.5,0.1
33,2025-11-26,OPT_ORB,NSE-BANKNIFTY-2025-12-30-59800-CE,59800.0,LONG,59811.0,11785.5,59782.8,11574.0,-251.5,SQUARE OFF,1,135996.59999999998,135745.09999999998,2025-11-26 10:00:00,2025-11-26 12:00:00,2025,NSE-BANKNIFTY,59647.01,59995.49,-14.1,0,0.6153,1,11785.5,184.6,,,,,,409.99,,neutral,True,,59800.0,CE,2025-12-30,785.7,771.6,11785.5,0.1
34,2025-12-16,OPT_ORB,NSE-BANKNIFTY-2025-12-30-59300-PE,59300.0,SHORT,59270.6,13561.5,59321.7,14328.0,726.5,SQUARE OFF,2,135745.09999999998,136471.59999999998,2025-12-16 11:30:00,2025-12-16 12:00:00,2025,NSE-BANKNIFTY,59460.3,59057.19,25.55,1,0.5,1,6780.75,-150.0,,,,,,474.24,,neutral,True,,59300.0,PE,2025-12-30,452.05,477.6,6780.75,0.1
35,2025-12-30,OPT_ORB,NSE-BANKNIFTY-2025-12-30-59400-CE,59400.0,LONG,59426.0,13594.5,59443.1,27189.0,13554.5,TARGET HIT,106,136471.59999999998,150026.09999999998,2025-12-30 10:15:00,2025-12-30 10:30:00,2025,NSE-BANKNIFTY,59284.41,59585.29,8.55,1,1.0,1,128.25,383.2,,,,,,353.97,,neutral,True,,59400.0,CE,2025-12-30,8.55,17.1,128.25,0.1
