date,year,direction,pnl_pts,win,exit_reason,ema_gap_pct,ema_slope_signed,ema_consistency,atr_ratio,atr_v,body_atr,rsi_signed,rsi_v,pat_stack,entry_hour,dow,_q,_hr
2024-08-22,2024,1,-82.45357142857392,0,STOP,0.21205702783473906,0.19251863120926097,14,0.9706741785616742,82.45357142857132,0.21709186988350215,14.844848798314601,64.8448487983146,1,12.5,3,"(0.999, 3.0]",12:30
2024-08-22,2024,1,-75.92142857142608,0,STOP,0.22984791635015764,0.1854624750745277,17,0.8906485671191608,75.92142857142868,0.4076582933483476,14.668060555139562,64.66806055513956,1,13.25,3,"(0.999, 3.0]",13:15
2024-08-22,2024,1,-74.17857142857247,0,STOP,0.23193481606024932,0.1838803266674835,19,0.8702027819674859,74.1785714285709,0.9079441502166454,14.890580066565803,64.8905800665658,2,13.75,3,"(0.999, 3.0]",13:45
2024-08-23,2024,1,-93.44642857142753,0,STOP,0.1589419442614158,0.08552575373092347,30,1.130115538278798,93.44642857142753,0.3060577106821969,3.4008933626071,53.4008933626071,1,10.5,4,"(0.999, 3.0]",10:30
2024-08-23,2024,1,-91.68214285714203,0,STOP,0.1591467027933861,0.08579968671111873,30,1.0923364963193065,91.68214285714203,0.5110046355809945,5.746658605423612,55.74665860542361,1,10.75,4,"(0.999, 3.0]",10:45
2024-08-23,2024,1,-90.12142857143044,0,STOP,0.14777768201020303,0.0797844922098632,30,1.0489472699686129,90.12142857142784,0.1509075057462005,3.5638790878165025,53.5638790878165,1,11.5,4,"(0.999, 3.0]",11:30
2024-08-23,2024,1,-86.42499999999563,0,STOP,0.140338649133437,0.07704473037797888,30,1.0022987553585772,86.42499999999875,0.16603991900490314,3.582137106587858,53.58213710658786,1,12.0,4,"(0.999, 3.0]",12:00
2024-08-23,2024,1,-81.67499999999563,0,STOP,0.11521084763376169,0.06544331255651649,30,0.9426239643872768,81.67499999999824,0.25956535047450047,1.0121556708925468,51.01215567089255,1,13.0,4,"(0.999, 3.0]",13:00
2024-08-23,2024,1,-51.53928571428696,0,STOP,0.09653625028969914,0.047890187547492614,30,0.5998794504603681,51.53928571428488,0.38320282724690524,-1.9258715577228145,48.074128442277186,1,14.0,4,"(0.999, 3.0]",14:00
2024-08-26,2024,1,90.0,1,TARGET,0.07229580750025295,0.028620539850890414,30,0.7320899424786471,59.99999999999948,1.134166666666725,18.748834018961986,68.74883401896199,1,9.5,0,"(0.999, 3.0]",09:30
2024-08-26,2024,1,-75.9107142857174,0,STOP,0.19740441557725336,0.17139542374389227,30,1.0019799179748357,75.9107142857148,0.2634674194307204,11.642807658895848,61.64280765889585,1,12.5,0,"(0.999, 3.0]",12:30
2024-08-27,2024,1,-75.75,0,STOP,0.07428955635228789,0.014170840037227525,30,1.096010748243089,75.75000000000053,1.8633663366336697,-1.6737922039219484,48.32620779607805,1,10.0,1,"(0.999, 3.0]",10:00
2024-08-27,2024,1,-23.75,0,SQUAREOFF,0.08407489557005388,0.046328152805011964,30,1.616376515788218,120.20357142857289,0.08194432064650917,6.921098303719241,56.92109830371924,1,12.5,1,"(0.999, 3.0]",12:30
2024-08-27,2024,1,-92.6464285714319,0,STOP,0.1105035884034247,0.10247196684763803,30,1.2458158242285997,92.6464285714293,0.5429243282834395,10.2996835234932,60.2996835234932,1,13.75,1,"(0.999, 3.0]",13:45
2024-09-27,2024,1,-63.20357142857392,0,STOP,1.2587613608141643,0.7103016738731318,30,0.7820495823942659,63.20357142857132,0.2064756738429555,17.53449727416222,67.53449727416222,1,12.0,4,"(0.999, 3.0]",12:00
2024-09-27,2024,1,5.80000000000291,0,SQUAREOFF,0.9428402895567922,0.4733758178778624,30,0.9273441942102625,66.98571428571293,0.6531243335466116,-8.722902396340103,41.2770976036599,1,13.5,4,"(0.999, 3.0]",13:30
2024-09-27,2024,1,-70.09999999999854,0,STOP,0.8903159876148206,0.4352482770408202,30,0.9712504329753897,70.09999999999854,0.4172610556348161,-6.354627978747608,43.64537202125239,1,13.75,4,"(0.999, 3.0]",13:45
2024-09-30,2024,-1,-74.43571428571158,0,STOP,0.2174042895315032,0.2322833519309446,10,1.0075900410925707,74.43571428571262,0.8134536033010841,21.986643186815144,28.013356813184856,1,14.25,0,"(0.999, 3.0]",14:15
2024-10-01,2024,-1,139.33392857142462,1,TARGET,0.23884578967324332,0.18235087308081838,19,1.2550183362285474,92.88928571428498,0.9570533276942829,13.567291070249837,36.43270892975016,1,10.0,1,"(0.999, 3.0]",10:00
2024-10-01,2024,-1,-92.73928571428405,0,STOP,0.2501964747190717,0.1762556637393308,21,1.2342609976947234,92.73928571428561,0.5235106096199341,18.624806611438274,31.375193388561726,1,10.5,1,"(0.999, 3.0]",10:30
2024-10-01,2024,-1,87.09999999999854,0,SQUAREOFF,0.2124637360388393,0.14442937388901272,28,1.2494025229119383,107.3571428571413,0.38190286094478265,5.126612694168273,44.87338730583173,1,12.25,1,"(0.999, 3.0]",12:15
2024-10-04,2024,-1,-172.096428571429,0,STOP,0.4664183920521434,0.2619388295702735,30,1.6303902826885155,172.096428571429,0.30622367028449893,-1.309442058503322,51.30944205850332,1,11.5,4,"(0.999, 3.0]",11:30
2024-10-04,2024,-1,245.4375,1,TARGET,0.3405446781672022,0.14313835977085984,30,1.520527031960467,163.6250000000005,0.41405653170358925,-4.2278478147715575,54.22784781477156,2,12.5,4,"(0.999, 3.0]",12:30
2024-10-04,2024,-1,282.375,1,TARGET,0.37335043326550144,0.14249645696992647,30,1.7100034063813059,188.2500000000005,0.6982735723771407,12.963907789450388,37.03609221054961,1,13.0,4,"(0.999, 3.0]",13:00
2024-10-07,2024,-1,208.83214285714348,1,TARGET,0.5614775690672426,0.4359464678747263,30,1.10996583143509,139.221428571429,0.3972089682417723,12.708279299236182,37.29172070076382,1,9.75,0,"(0.999, 3.0]",09:45
2024-10-07,2024,-1,206.4589285714319,1,TARGET,0.5388666812302021,0.39981139555477985,30,1.0390951495052483,137.63928571428602,0.3305742235138424,9.994881556270393,40.00511844372961,1,10.25,0,"(0.999, 3.0]",10:15
2024-10-07,2024,-1,231.9857142857145,1,TARGET,0.5888268311965924,0.3788854219683972,30,1.1294731351069458,154.6571428571442,0.979909477184566,16.81972425009826,33.18027574990174,1,11.75,0,"(0.999, 3.0]",11:45
2024-10-07,2024,-1,-237.54285714285652,0,STOP,0.8258442302582855,0.6112057833867274,30,1.537938609168159,237.5428571428586,0.16818017801297686,18.33264778566914,31.66735221433086,1,14.25,0,"(0.999, 3.0]",14:15
2024-10-08,2024,-1,51.94999999999709,0,SQUAREOFF,0.34786787505645866,0.13804280602892566,30,0.7973544582862959,134.9821428571418,0.122979230056876,-2.5550663895037786,52.55506638950378,1,13.75,1,"(0.999, 3.0]",13:45
2024-10-09,2024,-1,-120.15000000000146,0,STOP,0.1899556806321454,0.07511400993605272,30,0.7628484937812439,120.14999999999938,0.5372451102788451,-0.0074694085871200855,50.00746940858712,2,10.0,2,"(0.999, 3.0]",10:00
