feature,ic_pearson,ic_p_pvalue,ic_spearman,ic_s_pvalue,ic_p_ci_lo,ic_p_ci_hi,sign_match,n,feat_std,abs_ic_p
banknifty_max_pain,-0.16020085320770733,0.04235524874103787,-0.14257064345027864,0.07120767489039735,-0.3304380681167844,0.033605088832535636,0.4409937888198758,161,2131.928238103328,0.16020085320770733
fii_stats_ni_opt_eod_oi_crore,-0.15926535933161076,0.04359081540506268,-0.13680124223602486,0.08355295726848552,-0.2945660638301332,-0.01040638417465324,0.4720496894409938,161,70451.14583205325,0.15926535933161076
fii_stats_idx_opt_eod_oi_contracts,-0.15784749683736388,0.04552086835799943,-0.1261818495514148,0.11071789901235458,-0.2977658775877352,-0.01634859757252096,0.45962732919254656,161,532813.5155568293,0.15784749683736388
mkt_stk_fut_contracts,-0.15710054907979287,0.04656600529809585,-0.14408212560386474,0.06823090912839266,-0.2538958318937741,-0.051193205352302554,0.45962732919254656,161,1394939.8234839996,0.15710054907979287
poi_fii_fut_idx_net,-0.1528523923133987,0.05289735507789668,-0.19810213940648727,0.011766680789021145,-0.38208487656383877,0.06824676717951714,0.43478260869565216,161,41272.19376336802,0.1528523923133987
fii_stats_bn_opt_eod_oi_contracts,-0.15260699991220072,0.05328385594533157,-0.09547539644829103,0.2282952640283774,-0.2751961135314818,-0.001793853397689475,0.484472049689441,161,127715.01656157376,0.15260699991220072
nifty_max_pain,-0.14824283200789612,0.06055686494905574,-0.1922819629318588,0.014540685337042832,-0.3988035900487742,0.07838131173693326,0.4472049689440994,161,907.8595954392155,0.14824283200789612
nifty_atm_strike,-0.1456727819517086,0.06520847419890348,-0.19175394859939013,0.014818553851271654,-0.3942406664973546,0.07853889264899866,0.453416149068323,161,946.5662035165589,0.1456727819517086
nifty_spot,-0.14534028884899744,0.06583103967877323,-0.19132173864289126,0.015049443684988204,-0.3937059668671292,0.0786816272128381,0.4472049689440994,161,945.1263615953033,0.14534028884899744
banknifty_volt_annual,0.14432560979651568,0.06776099899261229,0.1340263400046009,0.09007373643491212,0.0016684424051450653,0.3311087822452462,0.546583850931677,161,0.01716857701489003,0.14432560979651568
banknifty_volt_spot_d,0.14387300772202538,0.06863660967337093,0.1343265236596057,0.08934933382629079,-0.004336544744206001,0.3325718053535025,0.546583850931677,161,0.000898727010924306,0.14387300772202538
banknifty_volt_d,0.14387300772202538,0.06863660967337093,0.1343265236596057,0.08934933382629079,-0.010289105596893475,0.29958049768207634,0.546583850931677,161,0.000898727010924306,0.14387300772202538
banknifty_volt_fut_d,0.1433184873117021,0.06972192530930273,0.1331799591491165,0.09214145394907212,-0.005828359864829093,0.3425671729826438,0.546583850931677,161,0.0009277755306384219,0.1433184873117021
nifty_volt_spot_d,0.13613103161798143,0.08509212375617177,0.1316870361919549,0.09588057854789202,-0.02481733636217158,0.3248819371233081,0.5341614906832298,161,0.0005807001598872874,0.13613103161798143
poi_pro_fut_idx_short,-0.13489377618610715,0.08799313559409082,-0.11416502341058808,0.14929569626368705,-0.24940755837229295,-0.036550801175662596,0.4968944099378882,161,9383.006465871531,0.13489377618610715
nifty_volt_annual,0.1339196336041379,0.09033236524954827,0.12942834138486314,0.10176519140997649,-0.030827102505907974,0.3500056582258908,0.5341614906832298,161,0.011365791248437387,0.1339196336041379
nifty_volt_d,0.13382310547504286,0.09056683410800186,0.13202638018091903,0.09502027591043266,-0.028552302896466927,0.32754113266862944,0.5341614906832298,161,0.0005949013815776631,0.13382310547504286
fii_stats_idx_fut_buy_crore,-0.1323554729175347,0.09419182386451133,-0.08568553025074765,0.27981057538258436,-0.24058070319047484,-0.0042790788185001075,0.4720496894409938,161,3437.6374588542926,0.1323554729175347
nifty_volt_fut_d,0.13108320675362004,0.09742666389910096,0.130320871211849,0.09940671517803137,-0.0354158671957194,0.30814803484776415,0.5341614906832298,161,0.0005963004111713499,0.13108320675362004
poi_client_fut_idx_short,-0.13085529636753368,0.09801532657015975,-0.05833333333333334,0.4623236830190347,-0.2685342866817246,0.04736475376315666,0.484472049689441,161,18240.150293801045,0.13085529636753368
fii_stats_idx_fut_buy_contracts,-0.13067516448954664,0.09848257201781985,-0.06989302967563837,0.3783118690413252,-0.24269887463476386,0.0011670029907999105,0.4720496894409938,161,20904.497565607668,0.13067516448954664
poi_fii_total_long,-0.130637904046368,0.09857944171693124,-0.08730446284794112,0.2707913196416815,-0.2707144511019097,0.013525637027225791,0.484472049689441,161,573516.6092804273,0.130637904046368
fii_stats_ni_opt_eod_oi_contracts,-0.13045492193561462,0.09905625282717505,-0.1079940188635841,0.17269195641501583,-0.27783304601643516,-0.00014610712153780817,0.484472049689441,161,452931.4427693642,0.13045492193561462
